Search Link,Date collected,company_name,city,company_address,company_category
http://www.yellowpages.com/new-york-ny/mip/ejs-luncheonette-11614397?geo_location_terms=&lid=11614397&search_terms=,2020-06-14,EJ's Luncheonette,New York,"1271 3rd Ave, New York, NY 10021",Breakfast Restaurants
http://www.yellowpages.com/new-york-ny/mip/sevens-turkish-grill-460080517?lid=1000439506725,2020-06-14,Seven's Turkish Grill,New York,"158 W 72nd St, New York, NY 10023",Mediterranean Restaurants
http://www.yellowpages.com/new-york-ny/mip/old-homestead-steakhouse-1275150?geo_location_terms=&lid=1275150&search_terms=,2020-06-14,Old Homestead Steakhouse,New York,"56 9th Ave, New York, NY 10011",Steak Houses
http://www.yellowpages.com/new-york-ny/mip/harlem-bbq-22985412,2020-06-14,Harlem BBQ,New York,"2367 Frederick Douglass Blvd, New York, NY 10027",Barbecue Restaurants
http://www.yellowpages.com/new-york-ny/mip/great-american-health-bar-1406923?geo_location_terms=&lid=1406923&search_terms=,2020-06-14,Great American Health Bar,New York,"35 W 57th St, New York, NY 10019",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/toloache-restaurant-22309240?geo_location_terms=&lid=22309240&search_terms=,2020-06-14,Toloache Restaurant,New York,"251 W 50th St, New York, NY 10019",Mexican Restaurants
http://www.yellowpages.com/new-york-ny/mip/waldys-pizza-16097243?geo_location_terms=&lid=16097243&search_terms=,2020-06-14,Waldy's Pizza,New York,"800 Avenue Of The Americas, New York, NY 10001",Pizza
http://www.yellowpages.com/new-york-ny/mip/johnny-rock-10705734?geo_location_terms=&lid=10705734&search_terms=,2020-06-14,Johnny Rock,New York,"930 3rd Ave, New York, NY 10022",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/hawkers-460635356?geo_location_terms=&lid=460635356&search_terms=,2020-06-14,Hawkers,New York,"225 E 14th St, New York, NY 10003",Asian Restaurants
http://www.yellowpages.com/new-york-ny/mip/del-friscos-double-eagle-steakhouse-496644035?geo_location_terms=&lid=496644035&search_terms=,2020-06-14,Del Frisco's Double Eagle Steakhouse,New York,"1221 Avenue Of The Americas, New York, NY 10020",Steak Houses
